t,x,y,z
1.180000,-0.599207,-0.056774,0.000712
1.185000,-0.599770,-0.056937,0.000713
1.190000,-0.600303,-0.057093,0.000713
1.195000,-0.600805,-0.057241,0.000713
1.200000,-0.601278,-0.057380,0.000714
1.205000,-0.601720,-0.057512,0.000714
1.210000,-0.602132,-0.057635,0.000714
1.215000,-0.602514,-0.057750,0.000715
1.220000,-0.602865,-0.057858,0.000715
1.225000,-0.603187,-0.057957,0.000715
1.230000,-0.603478,-0.058048,0.000715
1.235000,-0.603739,-0.058130,0.000715
1.240000,-0.603969,-0.058205,0.000715
1.245000,-0.604170,-0.058272,0.000715
1.250000,-0.604340,-0.058330,0.000715
1.255000,-0.604480,-0.058381,0.000715
1.260000,-0.604590,-0.058423,0.000715
1.265000,-0.604670,-0.058458,0.000715
1.270000,-0.604719,-0.058484,0.000715
1.275000,-0.604738,-0.058502,0.000715
1.280000,-0.604736,-0.058511,0.000715
1.285000,-0.604736,-0.058511,0.000715
1.290000,-0.604736,-0.058511,0.000715
1.295000,-0.604736,-0.058511,0.000715
1.300000,-0.604736,-0.058511,0.000715
1.305000,-0.604736,-0.058511,0.000715
1.310000,-0.604736,-0.058511,0.000715
1.315000,-0.604736,-0.058511,0.000715
1.320000,-0.604736,-0.058511,0.000715
1.325000,-0.604736,-0.058511,0.000715
1.330000,-0.604736,-0.058511,0.000715
1.335000,-0.604736,-0.058511,0.000715
1.340000,-0.604736,-0.058511,0.000715
1.345000,-0.604736,-0.058511,0.000715
1.350000,-0.604736,-0.058511,0.000715
1.355000,-0.604736,-0.058511,0.000715
1.360000,-0.604736,-0.058511,0.000715
1.365000,-0.604736,-0.058511,0.000715
1.370000,-0.604736,-0.058511,0.000715
1.375000,-0.604736,-0.058511,0.000715
1.380000,-0.604736,-0.058511,0.000715
1.385000,-0.604736,-0.058511,0.000715
1.390000,-0.604736,-0.058511,0.000715
1.395000,-0.604736,-0.058511,0.000715
1.400000,-0.604736,-0.058511,0.000715
1.405000,-0.604736,-0.058511,0.000715
1.410000,-0.604736,-0.058511,0.000715
1.415000,-0.604736,-0.058511,0.000715
1.420000,-0.604736,-0.058511,0.000715
1.425000,-0.604736,-0.058511,0.000715
1.430000,-0.604736,-0.058511,0.000715
1.435000,-0.604736,-0.058511,0.000715
1.440000,-0.604736,-0.058511,0.000715
1.445000,-0.604736,-0.058511,0.000715
1.450000,-0.604736,-0.058511,0.000715
1.455000,-0.604736,-0.058511,0.000715
1.460000,-0.604736,-0.058511,0.000715
1.465000,-0.604736,-0.058511,0.000715
1.470000,-0.604736,-0.058511,0.000715
1.475000,-0.604736,-0.058511,0.000715
1.480000,-0.604736,-0.058511,0.000715
1.485000,-0.604736,-0.058511,0.000715
1.490000,-0.604736,-0.058511,0.000715
1.495000,-0.604736,-0.058511,0.000715
1.500000,-0.604736,-0.058511,0.000715
1.505000,-0.604736,-0.058511,0.000715
1.510000,-0.604736,-0.058511,0.000715
1.515000,-0.604736,-0.058511,0.000715
1.520000,-0.604736,-0.058511,0.000715
1.525000,-0.604736,-0.058511,0.000715
1.530000,-0.604736,-0.058511,0.000715
1.535000,-0.604736,-0.058511,0.000715
1.540000,-0.604736,-0.058511,0.000715
1.545000,-0.604736,-0.058511,0.000715
1.550000,-0.604736,-0.058511,0.000715
1.555000,-0.604736,-0.058511,0.000715
1.560000,-0.604736,-0.058511,0.000715
1.565000,-0.604736,-0.058511,0.000715
1.570000,-0.604736,-0.058511,0.000715
1.575000,-0.604736,-0.058511,0.000715
1.580000,-0.604736,-0.058511,0.000715
1.585000,-0.604736,-0.058511,0.000715
1.590000,-0.604736,-0.058511,0.000715
1.595000,-0.604736,-0.058511,0.000715
1.600000,-0.604736,-0.058511,0.000716
1.605000,-0.604736,-0.058511,0.000716
1.610000,-0.604736,-0.058511,0.000716
1.615000,-0.604736,-0.058511,0.000716
1.620000,-0.604736,-0.058511,0.000716
1.625000,-0.604736,-0.058511,0.000716
1.630000,-0.604736,-0.058511,0.000716
1.635000,-0.604736,-0.058511,0.000716
1.640000,-0.604736,-0.058511,0.000716
1.645000,-0.604736,-0.058511,0.000716
1.650000,-0.604736,-0.058511,0.000716
1.655000,-0.604736,-0.058511,0.000716
1.660000,-0.604736,-0.058511,0.000716
1.665000,-0.604736,-0.058511,0.000716
1.670000,-0.604736,-0.058511,0.000716
1.675000,-0.604736,-0.058511,0.000716
1.680000,-0.604736,-0.058511,0.000716
1.685000,-0.604736,-0.058511,0.000716
1.690000,-0.604736,-0.058511,0.000716
1.695000,-0.604736,-0.058511,0.000716
1.700000,-0.604736,-0.058511,0.000716
1.705000,-0.604736,-0.058511,0.000716
1.710000,-0.604736,-0.058511,0.000716
1.715000,-0.604736,-0.058511,0.000716
1.720000,-0.604736,-0.058511,0.000716
1.725000,-0.604736,-0.058511,0.000716
1.730000,-0.604736,-0.058511,0.000716
1.735000,-0.604736,-0.058511,0.000716
1.740000,-0.604736,-0.058511,0.000716
1.745000,-0.604736,-0.058511,0.000716
1.750000,-0.604736,-0.058511,0.000716
1.755000,-0.604736,-0.058511,0.000716
1.760000,-0.604736,-0.058511,0.000716
1.765000,-0.604736,-0.058511,0.000716
1.770000,-0.604736,-0.058511,0.000716
1.775000,-0.604736,-0.058511,0.000716
1.780000,-0.604736,-0.058511,0.000716
1.785000,-0.604736,-0.058511,0.000716
1.790000,-0.604736,-0.058511,0.000716
1.795000,-0.604736,-0.058511,0.000716
1.800000,-0.604736,-0.058511,0.000716
1.805000,-0.604736,-0.058511,0.000716
1.810000,-0.604736,-0.058511,0.000716
1.815000,-0.604736,-0.058511,0.000716
1.820000,-0.604736,-0.058511,0.000716
1.825000,-0.604736,-0.058511,0.000716
1.830000,-0.604736,-0.058511,0.000716
1.835000,-0.604736,-0.058511,0.000716
1.840000,-0.604736,-0.058511,0.000716
1.845000,-0.604736,-0.058511,0.000716
1.850000,-0.604736,-0.058511,0.000716
1.855000,-0.604736,-0.058511,0.000716
1.860000,-0.604736,-0.058511,0.000716
1.865000,-0.604736,-0.058511,0.000716
1.870000,-0.604736,-0.058511,0.000716
1.875000,-0.604736,-0.058511,0.000716
1.880000,-0.604736,-0.058511,0.000716
1.885000,-0.604736,-0.058511,0.000716
1.890000,-0.604736,-0.058511,0.000716
1.895000,-0.604736,-0.058511,0.000716
1.900000,-0.604736,-0.058511,0.000716
1.905000,-0.604736,-0.058511,0.000716
1.910000,-0.604736,-0.058511,0.000716
1.915000,-0.604736,-0.058511,0.000716
1.920000,-0.604736,-0.058511,0.000716
1.925000,-0.604736,-0.058511,0.000716
1.930000,-0.604736,-0.058511,0.000716
