t,x,y,z,s_along_slope,penetration_est
0.221000,-0.715989,0.080028,-0.000000,-0.015989,0.000028
0.222000,-0.716132,0.080029,-0.000000,-0.016132,0.000029
0.223000,-0.716276,0.080029,-0.000000,-0.016276,0.000029
0.224000,-0.716420,0.080029,-0.000000,-0.016420,0.000029
0.225000,-0.716565,0.080029,-0.000000,-0.016565,0.000029
0.226000,-0.716710,0.080029,-0.000000,-0.016710,0.000029
0.227000,-0.716856,0.080029,-0.000000,-0.016856,0.000029
0.228000,-0.717003,0.080029,-0.000000,-0.017003,0.000029
0.229000,-0.717150,0.080029,-0.000000,-0.017150,0.000029
0.230000,-0.717298,0.080030,-0.000000,-0.017298,0.000030
0.231000,-0.717447,0.080030,-0.000000,-0.017447,0.000030
0.232000,-0.717596,0.080030,-0.000000,-0.017596,0.000030
0.233000,-0.717746,0.080030,-0.000000,-0.017746,0.000030
0.234000,-0.717897,0.080030,-0.000000,-0.017897,0.000030
0.235000,-0.718048,0.080030,-0.000000,-0.018048,0.000030
0.236000,-0.718200,0.080030,-0.000000,-0.018200,0.000030
0.237000,-0.718353,0.080031,-0.000000,-0.018353,0.000031
0.238000,-0.718506,0.080031,-0.000000,-0.018506,0.000031
0.239000,-0.718660,0.080031,-0.000000,-0.018660,0.000031
0.240000,-0.718814,0.080031,-0.000000,-0.018814,0.000031
0.241000,-0.718970,0.080031,-0.000000,-0.018970,0.000031
0.242000,-0.719125,0.080031,-0.000000,-0.019125,0.000031
0.243000,-0.719282,0.080031,-0.000000,-0.019282,0.000031
0.244000,-0.719439,0.080031,-0.000000,-0.019439,0.000031
0.245000,-0.719597,0.080032,-0.000000,-0.019597,0.000032
0.246000,-0.719755,0.080032,-0.000000,-0.019755,0.000032
0.247000,-0.719914,0.080032,-0.000000,-0.019914,0.000032
0.248000,-0.720074,0.080032,-0.000000,-0.020074,0.000032
0.249000,-0.720234,0.080032,-0.000000,-0.020234,0.000032
0.250000,-0.720395,0.080032,-0.000000,-0.020395,0.000032
0.251000,-0.720557,0.080032,-0.000000,-0.020557,0.000032
0.252000,-0.720719,0.080032,-0.000000,-0.020719,0.000032
0.253000,-0.720882,0.080033,-0.000000,-0.020882,0.000033
0.254000,-0.721045,0.080033,-0.000000,-0.021045,0.000033
0.255000,-0.721209,0.080033,-0.000000,-0.021209,0.000033
0.256000,-0.721374,0.080033,-0.000000,-0.021374,0.000033
0.257000,-0.721540,0.080033,-0.000000,-0.021540,0.000033
0.258000,-0.721706,0.080033,-0.000000,-0.021706,0.000033
0.259000,-0.721872,0.080033,-0.000000,-0.021872,0.000033
0.260000,-0.722040,0.080033,-0.000000,-0.022040,0.000033
0.261000,-0.722208,0.080034,-0.000000,-0.022208,0.000034
0.262000,-0.722376,0.080034,-0.000000,-0.022376,0.000034
0.263000,-0.722546,0.080034,-0.000000,-0.022546,0.000034
0.264000,-0.722716,0.080034,-0.000000,-0.022716,0.000034
0.265000,-0.722886,0.080034,-0.000000,-0.022886,0.000034
0.266000,-0.723058,0.080034,-0.000000,-0.023058,0.000034
0.267000,-0.723229,0.080034,-0.000000,-0.023229,0.000034
0.268000,-0.723402,0.080035,-0.000000,-0.023402,0.000035
0.269000,-0.723575,0.080035,-0.000000,-0.023575,0.000035
0.270000,-0.723749,0.080035,-0.000000,-0.023749,0.000035
0.271000,-0.723923,0.080035,-0.000000,-0.023923,0.000035
0.272000,-0.724099,0.080035,-0.000000,-0.024099,0.000035
0.273000,-0.724274,0.080035,-0.000000,-0.024274,0.000035
0.274000,-0.724451,0.080035,-0.000000,-0.024451,0.000035
0.275000,-0.724628,0.080035,-0.000000,-0.024628,0.000035
0.276000,-0.724805,0.080036,-0.000000,-0.024805,0.000036
0.277000,-0.724984,0.080036,-0.000000,-0.024984,0.000036
0.278000,-0.725163,0.080036,-0.000000,-0.025163,0.000036
0.279000,-0.725342,0.080036,-0.000000,-0.025342,0.000036
0.280000,-0.725523,0.080036,-0.000000,-0.025523,0.000036
